City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Albany,90,US,1529801640,82,42.65,-73.75,60.8,2.39
1,Busselton,0,AU,1529805870,100,-33.64,115.35,60.07,7.54
2,Saskylakh,56,RU,1529806732,100,71.97,114.09,65.38,4.63
3,Conceicao do Araguaia,0,BR,1529806732,60,-8.26,-49.26,74.38,3.51
4,Aklavik,90,CA,1529802000,75,68.22,-135.01,42.8,16.11
5,Vila Velha,0,BR,1529805600,65,-3.71,-38.6,80.6,12.75
6,Lorengau,64,PG,1529805870,100,-2.02,147.27,82.12,4.18
7,Bluff,20,AU,1529805869,32,-23.58,149.07,73.84,8.55
8,Lebu,64,ET,1529805892,71,8.96,38.73,51.97,2.39
9,Punta Arenas,90,CL,1529802000,100,-53.16,-70.91,33.8,10.29
10,Russell,0,AR,1529805600,91,-33.01,-68.8,48.2,4.7
11,Hobart,40,AU,1529803800,57,-42.88,147.33,51.8,11.41
12,Carutapera,44,BR,1529806734,82,-1.2,-46.02,80.05,8.77
13,Longonjo,0,AO,1529806734,74,-12.91,15.25,40.36,2.51
14,Kahului,40,US,1529805360,62,20.89,-156.47,84.2,32.21
15,Segou,12,SN,1529806735,93,12.41,-12.29,71.77,6.53
16,Baherden,88,TM,1529806735,42,38.44,57.43,75.37,1.16
17,Arraial do Cabo,0,BR,1529806735,87,-22.97,-42.02,71.5,17.05
18,Belaya Gora,0,RU,1529806736,50,68.54,146.19,66.55,7.76
19,Mahebourg,75,MU,1529802000,68,-20.41,57.7,71.6,8.05
20,Chokurdakh,0,RU,1529805878,83,70.62,147.9,52.33,8.66
21,Amalapuram,56,IN,1529806736,85,16.58,82.0,82.39,13.13
22,Tautira,20,PF,1529805000,62,-17.73,-149.15,84.2,3.36
23,Kununurra,0,AU,1529803800,20,-15.77,128.74,77.0,12.75
24,Longyearbyen,0,NO,1529801400,42,78.22,15.63,48.2,12.75
25,Victoria,75,BN,1529802000,83,5.28,115.24,82.4,4.7
26,Saint-Philippe,90,CA,1529804880,93,45.36,-73.48,60.8,3.36
27,Mataura,0,NZ,1529805887,76,-46.19,168.86,45.58,15.26
28,Hilo,90,US,1529804160,74,19.71,-155.08,78.8,11.41
29,San Patricio,92,PY,1529805896,93,-26.98,-56.83,67.99,3.4
30,Nikolskoye,0,RU,1529803800,62,59.7,30.79,59.0,2.24
31,Tilichiki,0,RU,1529806604,71,60.47,166.1,60.97,5.64
32,Severo-Kurilsk,68,RU,1529806739,91,50.68,156.12,46.03,14.03
33,Puerto Ayora,12,EC,1529805885,99,-0.74,-90.35,71.5,10.67
34,Mar del Plata,0,AR,1529806740,90,-46.43,-67.52,34.69,13.91
35,Vaini,100,IN,1529805874,100,15.34,74.49,68.8,3.62
36,Luderitz,0,NA,1529805878,93,-26.65,15.16,47.38,12.8
37,Kaniv,24,UA,1529806740,95,49.76,31.46,53.14,12.46
38,Katsuura,20,JP,1529802000,69,33.93,134.5,75.2,11.41
39,Heihe,20,RU,1529803800,56,50.24,127.51,68.0,11.18
40,Janauba,24,BR,1529806741,88,-1.63,-45.47,76.0,4.97
41,Dehloran,0,IR,1529806742,30,32.69,47.27,76.18,1.39
42,Kielce,20,PL,1529806742,95,50.87,20.63,50.17,8.21
43,Tuktoyaktuk,90,CA,1529802000,93,69.44,-133.03,35.6,14.99
44,Kruisfontein,36,ZA,1529806742,84,-34.0,24.73,61.24,22.19
45,Bredasdorp,92,ZA,1529802000,71,-34.53,20.04,57.2,8.05
46,Yellowknife,75,CA,1529802000,82,62.45,-114.38,66.2,10.29
47,Barrow,0,AR,1529805902,40,-38.31,-60.23,38.38,17.16
48,Rikitea,12,PF,1529805876,100,-23.12,-134.97,76.54,12.68
49,Ilulissat,75,GL,1529805000,99,69.22,-51.1,37.4,6.93
50,Talnakh,0,RU,1529806744,61,69.49,88.39,62.68,5.19
51,Port Alfred,0,ZA,1529805880,89,-33.59,26.89,62.59,19.73
52,Pinawa,36,CA,1529806744,71,50.15,-95.88,69.88,15.7
53,Pacific Grove,1,US,1529805720,72,36.62,-121.92,66.2,9.17
